,date,closing,adjusted,evolution,quantity,volume
0,01/12/2022,338.0,338.0,0.07,6.0,2028.0
1,30/11/2022,337.75,337.75,0.0,0.0,0.0
2,29/11/2022,337.75,337.75,0.13,9.0,3039.75
3,28/11/2022,337.3,337.3,-0.79,34.0,11471.9
4,25/11/2022,340.0,340.0,0.0,0.0,0.0
5,24/11/2022,340.0,340.0,-2.24,31.0,10493.0
6,23/11/2022,347.8,347.8,0.0,0.0,0.0
7,22/11/2022,347.8,347.8,-0.06,5.0,1739.0
8,21/11/2022,348.0,348.0,-0.57,4.0,1392.0
9,17/11/2022,350.0,350.0,0.0,2.0,700.0
10,16/11/2022,350.0,350.0,0.0,0.0,0.0
11,15/11/2022,350.0,350.0,-2.23,657.0,223124.5
12,14/11/2022,358.0,358.0,0.0,0.0,0.0
13,11/11/2022,358.0,358.0,0.0,0.0,0.0
14,10/11/2022,358.0,358.0,-0.56,3.0,1074.0
15,09/11/2022,360.0,360.0,0.0,0.0,0.0
16,08/11/2022,360.0,360.0,0.0,0.0,0.0
17,07/11/2022,360.0,360.0,3.17,38.0,13081.0
18,04/11/2022,348.95,348.95,2.03,1.0,348.95
19,03/11/2022,342.0,342.0,0.0,0.0,0.0
20,02/11/2022,342.0,342.0,0.0,0.0,0.0
21,01/11/2022,342.0,342.0,0.0,0.0,0.0
22,31/10/2022,342.0,342.0,0.0,4.0,1368.0
23,28/10/2022,342.0,342.0,-2.01,632.0,216151.2
24,27/10/2022,349.0,349.0,0.0,0.0,0.0
25,26/10/2022,349.0,349.0,0.0,0.0,0.0
26,25/10/2022,349.0,349.0,5.57,26.0,8946.5
27,24/10/2022,330.6,330.6,0.18,26.0,8530.0
28,21/10/2022,330.0,330.0,-2.37,90.0,29764.0
29,20/10/2022,338.0,338.0,-0.59,30.0,10194.0
30,19/10/2022,340.0,340.0,0.0,17.0,5790.1
31,18/10/2022,340.0,340.0,-5.03,41.0,14067.5
32,17/10/2022,358.0,358.0,0.0,0.0,0.0
33,14/10/2022,358.0,358.0,0.0,0.0,0.0
34,13/10/2022,358.0,358.0,0.0,0.0,0.0
35,12/10/2022,358.0,358.0,3.77,5.0,1790.0
36,11/10/2022,345.0,345.0,-0.72,69.0,23906.0
37,07/10/2022,347.5,347.5,0.0,0.0,0.0
38,06/10/2022,347.5,347.5,0.43,641.0,222747.5
39,05/10/2022,346.0,346.0,-0.04,151.0,52256.3
40,04/10/2022,346.15,346.15,-2.22,54.0,18692.1
41,03/10/2022,354.0,354.0,1.87,14.0,4956.0
42,30/09/2022,347.5,347.5,-2.11,15.0,5260.0
43,29/09/2022,355.0,355.0,0.0,0.0,0.0
44,28/09/2022,355.0,355.0,-3.51,32.0,11475.7
45,27/09/2022,367.9,367.9,0.0,0.0,0.0
46,26/09/2022,367.9,367.9,-0.03,1011.0,371946.9
47,23/09/2022,368.0,368.0,0.27,25.0,9039.0
48,22/09/2022,367.0,367.0,-0.27,3.0,1101.0
49,21/09/2022,368.0,368.0,2.22,15.0,5519.5
50,20/09/2022,360.0,360.0,0.0,10.0,3600.0
