,date,closing,adjusted,evolution,quantity,volume
0,01/12/2022,195.35,195.35,0.0,4.0,781.4
1,30/11/2022,195.35,195.35,0.85,28.0,5441.45
2,29/11/2022,193.7,193.7,5.56,140.0,26505.6
3,28/11/2022,183.5,183.5,-5.41,2332.0,426098.75
4,25/11/2022,194.0,194.0,0.0,0.0,0.0
5,24/11/2022,194.0,194.0,0.0,0.0,0.0
6,23/11/2022,194.0,194.0,0.0,0.0,0.0
7,22/11/2022,194.0,194.0,0.0,0.0,0.0
8,21/11/2022,194.0,194.0,0.0,0.0,0.0
9,17/11/2022,194.0,194.0,0.0,0.0,0.0
10,16/11/2022,194.0,194.0,0.0,0.0,0.0
11,15/11/2022,194.0,194.0,0.0,0.0,0.0
12,14/11/2022,194.0,194.0,0.0,0.0,0.0
13,11/11/2022,194.0,194.0,0.0,0.0,0.0
14,10/11/2022,194.0,194.0,0.0,0.0,0.0
15,09/11/2022,194.0,194.0,0.0,2430.0,461740.0
16,08/11/2022,194.0,194.0,0.0,0.0,0.0
17,07/11/2022,194.0,194.0,0.0,0.0,0.0
18,04/11/2022,194.0,194.0,-0.77,511.0,99148.0
19,03/11/2022,195.5,195.5,0.0,0.0,0.0
20,02/11/2022,195.5,195.5,0.77,210.0,41055.0
21,01/11/2022,194.0,194.0,0.0,0.0,0.0
22,31/10/2022,194.0,194.0,-0.41,4060.0,787661.8
23,28/10/2022,194.8,194.8,-0.61,1200.0,233760.0
24,27/10/2022,196.0,196.0,5.35,2.0,392.0
25,26/10/2022,186.05,186.05,-5.56,34.0,6325.7
26,25/10/2022,197.0,197.0,2.6,10.0,1934.5
27,24/10/2022,192.0,192.0,0.0,0.0,0.0
28,21/10/2022,192.0,192.0,-2.93,1328.0,254976.0
29,20/10/2022,197.8,197.8,4.11,618.0,119784.0
30,19/10/2022,190.0,190.0,0.48,147.0,27948.5
31,18/10/2022,189.1,189.1,-4.01,100.0,18910.0
32,17/10/2022,197.0,197.0,-1.5,210.0,41292.0
33,14/10/2022,200.0,200.0,0.5,4722.0,938363.0
34,13/10/2022,199.0,199.0,1.02,1.0,199.0
35,12/10/2022,197.0,197.0,-2.91,392.0,77158.0
36,11/10/2022,202.9,202.9,0.0,0.0,0.0
37,07/10/2022,202.9,202.9,0.0,0.0,0.0
38,06/10/2022,202.9,202.9,0.0,0.0,0.0
39,05/10/2022,202.9,202.9,0.0,0.0,0.0
40,04/10/2022,202.9,202.9,0.0,0.0,0.0
