,date,closing,adjusted,evolution,quantity,volume
0,01/12/2022,1430.0,1430.0,0.07,180.0,260300.0
1,30/11/2022,1429.0,1429.0,1.13,2410.0,3400851.0
2,29/11/2022,1413.0,1413.0,0.0,0.0,0.0
3,28/11/2022,1413.0,1413.0,-0.49,375.0,529952.0
4,25/11/2022,1420.0,1420.0,-1.39,222.0,315300.0
5,24/11/2022,1440.0,1440.0,0.0,314.0,452225.0
6,23/11/2022,1440.0,1440.0,0.0,161.0,232550.0
7,22/11/2022,1440.0,1440.0,0.63,1623.0,2340490.0
8,21/11/2022,1431.0,1431.0,-1.31,402.0,575264.0
9,17/11/2022,1450.0,1450.0,0.76,3288.0,4735020.0
10,16/11/2022,1439.0,1439.0,0.0,161.0,230691.0
11,15/11/2022,1439.0,1439.0,1.34,3445.0,4909238.0
12,14/11/2022,1420.0,1420.0,1.43,4342.0,6130924.0
13,11/11/2022,1400.0,1400.0,0.0,11292.0,15388847.0
14,10/11/2022,1400.0,1400.0,-2.1,9959.0,13951539.0
15,09/11/2022,1430.0,1430.0,0.56,3825.0,5471103.0
16,08/11/2022,1422.0,1422.0,-2.54,2251.0,3217495.0
17,07/11/2022,1459.0,1459.0,2.75,1080.0,1575019.0
18,04/11/2022,1420.0,1420.0,-1.39,3519.0,5180203.0
19,03/11/2022,1440.0,1440.0,-3.36,323.0,467111.0
20,02/11/2022,1490.0,1490.0,-1.65,921.0,1372437.0
21,01/11/2022,1515.0,1515.0,2.36,3.0,4544.0
22,31/10/2022,1480.0,1480.0,2.85,2752.0,4001485.0
23,28/10/2022,1439.0,1439.0,-4.07,2136.0,3097560.0
24,27/10/2022,1500.0,1500.0,1.01,4637.0,6940751.0
25,26/10/2022,1485.0,1485.0,0.68,2217.0,3292161.0
26,25/10/2022,1475.0,1475.0,2.79,2542.0,3709100.0
27,24/10/2022,1435.0,1435.0,0.21,554.0,795146.0
28,21/10/2022,1432.0,1432.0,-5.48,1063.0,1528919.0
29,20/10/2022,1515.0,1515.0,-2.26,2177.0,3298155.0
30,19/10/2022,1550.0,1550.0,0.98,33.0,50623.0
31,18/10/2022,1535.0,1535.0,0.0,1450.0,2225770.0
32,17/10/2022,1535.0,1535.0,-0.97,129.0,199380.0
33,14/10/2022,1550.0,1550.0,-0.39,4720.0,7316867.0
34,13/10/2022,1556.0,1556.0,-5.12,9362.0,14566827.0
35,12/10/2022,1640.0,1640.0,0.0,701.0,1149640.0
36,11/10/2022,1640.0,1640.0,0.0,588.0,964320.0
37,07/10/2022,1640.0,1640.0,1.23,3605.0,5889150.0
38,06/10/2022,1620.0,1620.0,0.62,10000.0,16200000.0
